Time	Ch0	Gen
0.0002116	1.047979	1.293732
0.000212	1.047979	1.336858
0.0002124	1.006015	1.336858
0.0002128	1.006015	1.336858
0.0002132	1.006015	1.293732
0.0002136	1.006015	1.293732
0.000214	0.9640516	1.336858
0.0002144	0.9640516	1.293732
0.0002148	0.9640516	1.293732
0.0002152	0.9220881	1.293732
0.0002156	0.9640516	1.293732
0.000216	0.9220881	1.293732
0.0002164	0.9220881	1.293732
0.0002168	0.9220881	1.293732
0.0002172	0.9220881	1.293732
0.0002176	0.9220881	1.293732
0.000218	0.9220881	1.293732
0.0002184	0.9220881	1.293732
0.0002188	0.8801245	1.293732
0.0002192	0.8801245	1.293732
0.0002196	0.8801245	1.293732
0.00022	0.838161	1.250605
0.0002204	0.838161	1.293732
0.0002208	0.8801245	1.293732
0.0002212	0.838161	1.293732
0.0002216	0.838161	1.336858
0.000222	0.838161	1.293732
0.0002224	0.838161	1.293732
0.0002228	0.838161	1.379985
0.0002232	0.7961974	1.250605
0.0002236	0.7961974	1.293732
0.000224	0.7961974	1.250605
0.0002244	0.7542339	1.250605
0.0002248	0.7542339	1.250605
0.0002252	0.7542339	1.250605
0.0002256	0.7122703	1.250605
0.000226	0.7122703	1.250605
0.0002264	0.7542339	1.250605
0.0002268	0.7122703	1.207479
0.0002272	0.7122703	1.250605
0.0002276	0.7122703	1.250605
0.000228	0.7122703	1.250605
0.0002284	0.7122703	1.250605
0.0002288	0.6703068	1.250605
0.0002292	0.6703068	1.293732
0.0002296	0.6703068	1.250605
0.00023	0.6703068	1.250605
0.0002304	0.6703068	1.207479
0.0002308	0.6283432	1.250605
0.0002312	0.6703068	1.250605
0.0002316	0.6283432	1.250605
0.000232	0.6283432	1.250605
0.0002324	0.6283432	1.207479
0.0002328	0.5863797	1.207479
0.0002332	0.5863797	1.207479
0.0002336	0.5863797	1.207479
0.000234	0.5863797	1.207479
0.0002344	0.5444161	1.207479
0.0002348	0.5444161	1.164352
0.0002352	0.5444161	1.164352
0.0002356	0.5444161	1.164352
0.000236	0.5024526	1.207479
0.0002364	0.5024526	1.164352
0.0002368	0.5024526	1.164352
0.0002372	0.5024526	1.207479
0.0002376	0.4604891	1.164352
0.000238	0.4604891	1.164352
0.0002384	0.4604891	1.164352
0.0002388	0.4185255	1.164352
0.0002392	0.4604891	1.121226
0.0002396	0.4185255	1.121226
0.00024	0.4185255	1.121226
0.0002404	0.4185255	1.121226
0.0002408	0.376562	1.121226
0.0002412	0.4185255	1.121226
0.0002416	0.376562	1.121226
0.000242	0.376562	1.121226
0.0002424	0.376562	1.121226
0.0002428	0.3345984	1.121226
0.0002432	0.3345984	1.121226
0.0002436	0.3345984	1.121226
0.000244	0.3345984	1.121226
0.0002444	0.3345984	1.121226
0.0002448	0.3345984	1.121226
0.0002452	0.3345984	1.078099
0.0002456	0.3345984	1.121226
0.000246	0.3345984	1.078099
0.0002464	0.2926349	1.121226
0.0002468	0.2926349	1.078099
0.0002472	0.2506713	1.078099
0.0002476	0.2506713	1.034973
0.000248	0.2506713	1.078099
0.0002484	0.2506713	1.078099
0.0002488	0.2506713	1.121226
0.0002492	0.2506713	1.078099
0.0002496	0.2087078	1.034973
0.00025	0.2087078	1.078099
0.0002504	0.2087078	1.078099
0.0002508	0.2087078	1.034973
0.0002512	0.1667442	1.034973
0.0002516	0.1667442	1.034973
0.000252	0.1667442	1.034973
0.0002524	0.1667442	0.9918462
0.0002528	0.1667442	1.034973
0.0002532	0.1247807	1.034973
0.0002536	0.1247807	0.9918462
0.000254	0.08281713	0.9918462
0.0002544	0.1247807	0.9918462
0.0002548	0.1247807	0.9918462
0.0002552	0.08281713	0.9918462
0.0002556	0.08281713	0.9918462
0.000256	0.08281713	0.9918462
0.0002564	0.04085358	0.9918462
0.0002568	0.04085358	0.9918462
0.0002572	0.04085358	0.9487197
0.0002576	-0.001109969	0.9487197
0.000258	0.04085358	0.9487197
