Frequency	dBVrms
157500.000000	-51.721041
157750.000000	-51.562884
158000.000000	-51.202000
158250.000000	-51.492025
158500.000000	-51.960214
158750.000000	-52.020961
159000.000000	-51.991110
159250.000000	-51.361554
159500.000000	-52.300088
159750.000000	-51.894118
160000.000000	-51.861160
160250.000000	-51.840314
160500.000000	-52.094846
160750.000000	-52.161118
161000.000000	-52.192849
161250.000000	-52.384050
161500.000000	-52.025871
161750.000000	-52.322082
162000.000000	-52.261031
162250.000000	-52.051201
162500.000000	-52.316115
162750.000000	-52.926265
163000.000000	-52.307099
163250.000000	-52.501597
163500.000000	-52.785399
163750.000000	-52.849351
164000.000000	-52.991594
164250.000000	-52.434005
164500.000000	-52.411370
164750.000000	-53.037491
165000.000000	-52.725214
165250.000000	-53.051614
165500.000000	-53.048681
165750.000000	-53.531197
166000.000000	-52.769117
166250.000000	-53.203151
166500.000000	-53.016947
166750.000000	-53.014263
167000.000000	-53.363313
167250.000000	-52.921123
167500.000000	-53.114230
167750.000000	-52.856366
168000.000000	-53.161608
168250.000000	-52.997939
168500.000000	-52.741992
168750.000000	-53.262498
169000.000000	-53.600679
169250.000000	-53.190005
169500.000000	-53.149529
169750.000000	-53.421990
